id,name,iso,dac_status
D-1,Afghanistan,AFG,Least Developed
D-2,Albania,ALB,
D-3,Algeria,DZA,
D-5,Andorra,AND,
D-6,Angola,AGO,Least Developed
D-9,Antigua And Barbuda,ATG,
D-10,Argentina,ARG,
D-11,Armenia,ARM,Lower Middle Income
D-13,Australia,AUS,
D-14,Austria,AUT,
D-15,Azerbaijan,AZE,
D-17,Bahamas,BHS,
D-18,Bahrain,BHR,
D-19,Bangladesh,BGD,Least Developed
D-20,Barbados,BRB,
D-21,Belarus,BLR,
D-22,Belgium,BEL,
D-23,Belize,BLZ,
D-24,Benin,BEN,Least Developed
D-26,Bhutan,BTN,Least Developed
D-27,Bolivia,BOL,Lower Middle Income
D-28,Bosnia And Herzegovina,BIH,
D-29,Botswana,BWA,
D-30,Brazil,BRA,
D-31,Brunei,BRN,
D-32,Bulgaria,BGR,
D-33,Burkina Faso,BFA,Least Developed
D-34,Burundi,BDI,Least Developed
D-35,Cambodia,KHM,Least Developed
D-36,Cameroon,CMR,Lower Middle Income
D-37,Canada,CAN,
D-38,Cape Verde,CPV,Lower Middle Income
D-40,Central African Republic,CAF,Least Developed
D-41,Chad,TCD,Least Developed
D-42,Chile,CHL,
D-43,China,CHN,
D-44,Colombia,COL,
D-45,Comoros,COM,Least Developed
D-46,Congo,COG,Lower Middle Income
D-48,Costa Rica,CRI,
D-49,Croatia,HRV,
D-50,Cuba,CUB,
D-51,Cyprus,CYP,
D-52,Czech Republic,CZE,
D-53,Denmark,DNK,
D-54,Djibouti,DJI,Least Developed
D-55,Dominica,DMA,
D-56,Dominican Republic,DOM,
D-57,Ecuador,ECU,
D-58,Egypt,EGY,Lower Middle Income
D-59,El Salvador,SLV,Lower Middle Income
D-60,Equatorial Guinea,GNQ,
D-61,Eritrea,ERI,Least Developed
D-62,Estonia,EST,
D-63,Ethiopia,ETH,Least Developed
D-66,Fiji,FJI,
D-67,Finland,FIN,
D-68,France,FRA,
D-71,Gabon,GAB,
D-72,The Gambia,GMB,Least Developed
D-74,Georgia,GEO,Lower Middle Income
D-75,Germany,DEU,
D-76,Ghana,GHA,Lower Middle Income
D-78,Greece,GRC,
D-80,Grenada,GRD,
D-83,Guatemala,GTM,Lower Middle Income
D-85,Guinea,GIN,Least Developed
D-86,Guinea-Bissau,GNB,Least Developed
D-87,Guyana,GUY,
D-88,Haiti,HTI,Least Developed
D-89,Honduras,HND,Lower Middle Income
D-91,Hungary,HUN,
D-92,Iceland,ISL,
D-93,India,IND,Lower Middle Income
D-94,Indonesia,IDN,Lower Middle Income
D-95,Iran,IRN,
D-96,Iraq,IRQ,
D-97,Israel,ISR,
D-98,Italy,ITA,
D-99,Ivory Coast,CIV,Lower Middle Income
D-100,Jamaica,JAM,
D-101,Japan,JPN,
D-103,Jordan,JOR,Lower Middle Income
D-104,Kazakhstan,KAZ,
D-105,Kenya,KEN,Lower Middle Income
D-106,Kiribati,KIR,Least Developed
D-107,Kuwait,KWT,
D-108,Kyrgyzstan,KGZ,Lower Middle Income
D-109,Laos,LAO,Least Developed
D-110,Latvia,LVA,
D-111,Lebanon,LBN,
D-112,Lesotho,LSO,Least Developed
D-113,Liberia,LBR,Least Developed
D-114,Libya,LBY,
D-115,Liechtenstein,LIE,
D-116,Lithuania,LTU,
D-117,Luxembourg,LUX,
D-119,Macedonia,MKD,
D-120,Madagascar,MDG,Least Developed
D-122,Malawi,MWI,Least Developed
D-123,Malaysia,MYS,
D-124,Maldives,MDV,
